Rank,Team,G,TD,FG,PAT,2PT,SAF,PTS,AVG/G
1,Ole Miss,10,50,20,47,0,0,407,40.7
2,Texas,9,47,6,46,1,1,350,38.9
3,Alabama,9,47,4,45,1,1,343,38.1
4,Tennessee,9,41,16,40,0,2,338,37.6
5,Arkansas,9,37,13,36,0,0,297,33
6,Texas A&M,9,33,16,32,0,0,278,30.9
7,Georgia,9,33,15,30,1,0,275,30.6
7,LSU,9,33,15,28,1,1,275,30.6
9,South Carolina,9,33,13,29,2,1,272,30.2
10,Florida,9,32,10,31,0,0,253,28.1
11,Missouri,9,29,16,26,2,0,252,28
11,Vanderbilt,10,33,16,30,2,0,280,28
13,Mississippi St.,10,36,8,34,1,0,276,27.6
14,Auburn,9,30,6,30,0,0,228,25.3
15,Oklahoma,10,30,14,25,1,1,251,25.1
16,Kentucky,9,19,13,16,1,0,171,19
